hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
14.77,97,944.62,29.7,59.77,64.75,4.28,349.67,3.684,1289.21,sombreado_parcial
7.84,16,359.07,27.01,39.13,84.55,1.47,366.1,2.446,889.48,suciedad
6.46,279,73.93,28.39,28.85,30.62,4.2,374.26,0.691,254.18,normal
18.89,135,279.0,23.73,32.61,59.69,9.42,373.9,2.546,956.15,normal
14.63,26,868.45,28.25,54.0,73.51,0.07,353.07,5.178,1845.23,sombreado_parcial
17.15,352,550.84,22.97,38.1,73.03,2.32,366.92,0.707,267.58,falla_panel
12.74,12,891.01,25.01,53.47,56.79,0.74,350.93,7.717,2711.62,normal
7.64,72,315.63,23.35,34.95,63.73,2.45,371.23,2.791,1062.54,normal
7.75,133,422.88,22.26,34.9,73.03,1.88,372.31,0.932,351.08,falla_panel
15.6,106,857.68,20.87,47.35,78.87,2.57,355.59,7.353,2611.05,normal
12.02,220,1000.0,27.81,57.35,73.33,2.4,349.36,4.481,1574.91,sombreado_parcial
8.81,177,622.6,32.86,52.33,44.78,9.66,355.22,3.91,1366.87,sombreado_parcial
12.88,282,961.22,32.03,63.2,89.77,2.41,347.31,8.339,2891.27,normal
6.9,133,247.75,17.46,26.39,50.42,5.62,378.81,2.258,869.84,normal
14.15,22,875.63,32.74,60.92,21.71,1.16,348.99,2.209,778.07,falla_panel
9.77,269,717.87,23.09,44.6,45.38,1.73,363.06,6.264,2251.95,normal
17.17,161,665.49,28.6,48.43,28.94,1.91,359.46,5.814,2100.95,normal
10.35,107,868.28,19.56,47.89,28.5,0.98,356.64,3.198,1154.68,sombreado_parcial
12.37,279,919.99,25.85,55.82,39.71,1.43,355.68,7.635,2730.75,normal
6.16,353,46.1,26.88,28.06,23.74,2.74,377.21,0.19,70.09,sombreado_parcial
7.01,235,278.5,16.09,24.16,68.2,2.6,381.21,0.544,203.0,falla_panel
11.49,18,808.85,28.65,55.68,25.18,3.04,350.9,2.548,882.15,falla_panel
12.72,242,1000.0,33.08,63.79,34.23,1.3,345.63,8.569,2974.46,normal
14.4,117,950.63,23.95,54.78,26.5,1.14,355.63,8.296,2923.46,normal
10.08,286,760.61,33.16,56.72,24.42,2.84,351.18,6.64,2323.04,normal
15.73,282,811.04,23.86,47.64,38.74,0.43,357.73,1.265,460.06,falla_panel
18.04,144,465.49,30.1,47.06,60.03,0.88,362.44,4.147,1488.09,normal
16.92,205,718.94,11.69,34.34,87.53,0.13,368.61,6.631,2409.08,normal
6.55,39,132.7,39.51,42.59,81.29,0.23,361.89,0.998,352.39,suciedad
12.73,154,1000.0,33.97,63.14,81.32,0.84,340.99,3.905,1301.71,sombreado_parcial
7.47,176,379.18,23.29,33.21,32.32,0.06,371.47,3.317,1250.73,normal
9.39,241,706.09,13.17,34.67,38.54,0.84,372.82,6.156,2331.02,normal
19.81,134,46.58,26.73,31.07,25.35,3.19,373.79,0.249,83.07,sombreado_parcial
7.99,46,391.57,16.34,27.7,74.49,0.19,377.56,2.92,1080.87,suciedad
12.98,50,946.0,27.67,59.4,24.89,1.72,348.05,3.499,1240.81,sombreado_parcial
14.65,166,1000.0,27.47,58.52,58.97,7.33,347.7,8.772,3028.33,normal
15.83,106,837.56,19.35,43.75,37.35,4.7,359.95,7.463,2694.21,normal
13.84,216,1000.0,31.73,62.27,37.04,1.09,341.29,6.744,2291.15,suciedad
6.14,146,26.87,29.83,28.75,89.35,7.76,379.05,0.099,32.61,falla_panel
10.57,72,824.65,30.85,55.34,72.97,1.2,349.91,7.394,2579.12,normal
13.25,330,889.44,25.05,51.52,78.59,0.23,353.44,7.546,2656.86,normal
7.23,273,280.75,16.51,22.42,60.04,15.0,379.46,1.678,638.28,sombreado_parcial
10.91,247,887.35,30.87,60.87,80.97,6.12,345.65,3.943,1370.47,sombreado_parcial
6.46,186,110.18,23.38,27.14,65.18,1.88,379.05,1.059,395.05,normal
7.1,70,266.73,16.66,23.97,86.23,3.29,380.25,1.599,613.33,sombreado_parcial
11.56,150,1000.0,33.11,64.69,39.69,3.34,28.23,1.181,34.33,falla_inversor
7.86,246,414.82,37.6,49.31,61.67,0.65,352.96,2.218,777.38,sombreado_parcial
13.95,262,977.7,24.75,51.3,68.31,0.67,355.36,8.608,3069.46,normal
15.65,26,741.08,37.95,65.55,47.51,1.9,340.66,5.048,1722.85,suciedad
17.21,140,619.5,25.55,45.19,81.58,7.28,357.94,5.437,1955.72,normal
8.8,99,603.16,22.72,40.68,88.59,0.03,361.86,5.325,1898.75,normal
8.34,278,494.4,21.22,33.77,54.56,4.58,369.95,2.026,747.55,sombreado_parcial
7.46,51,326.15,34.82,42.77,47.34,0.18,360.69,1.113,429.91,sombreado_parcial
14.91,151,996.88,20.32,53.95,53.04,1.95,353.19,1.771,603.62,falla_panel
15.89,104,855.94,29.41,58.41,79.69,3.05,349.13,7.055,2494.78,normal
6.44,89,132.7,21.65,26.92,65.18,3.48,378.52,1.28,443.88,normal
19.11,141,232.23,22.24,27.82,23.13,0.18,378.07,0.673,253.61,falla_panel
6.73,213,199.28,31.18,39.67,57.95,1.63,362.92,1.815,670.14,normal
13.58,233,1000.0,22.72,54.64,21.21,2.63,352.85,8.719,3082.91,normal
15.93,183,846.56,22.57,50.01,74.5,0.2,357.58,3.567,1304.04,sombreado_parcial
18.19,251,412.47,31.8,45.36,42.98,0.44,1.32,40.873,54.16,falla_inversor
16.0,9,681.88,34.58,53.63,53.04,3.27,352.6,4.133,1465.23,sombreado_parcial
17.22,79,576.57,28.87,45.09,75.91,2.21,359.43,5.225,1879.02,normal
10.75,52,850.31,21.07,46.88,23.25,0.53,359.89,5.205,1857.01,sombreado_parcial
17.41,269,571.61,21.94,40.76,31.1,2.3,31.64,2.039,64.04,falla_inversor
7.12,226,258.59,25.48,31.49,47.86,7.31,375.68,1.709,663.78,suciedad
18.53,51,295.93,26.93,35.91,36.09,0.05,370.19,2.567,968.68,normal
13.67,186,1000.0,19.07,50.06,43.65,3.09,355.86,7.189,2553.88,suciedad
17.44,34,482.86,29.34,45.62,89.87,0.23,359.73,3.124,1115.05,suciedad
12.33,291,938.75,25.51,55.86,77.78,0.02,350.36,5.829,2043.65,sombreado_parcial
15.01,230,947.59,14.71,42.8,81.87,0.49,362.78,4.413,1590.94,sombreado_parcial
13.37,131,1000.0,19.43,52.85,85.59,1.65,353.39,9.029,3188.13,normal
16.24,120,796.02,21.98,45.11,43.87,4.86,358.32,4.567,1633.32,sombreado_parcial
7.14,326,214.43,24.56,32.9,40.8,0.99,372.97,1.629,591.84,suciedad
6.84,247,178.9,36.34,41.1,36.38,2.95,365.04,1.64,563.64,normal
9.46,192,751.34,26.43,50.15,78.11,1.59,353.75,6.528,2304.03,normal
8.23,323,406.62,19.96,33.0,67.57,0.8,372.86,3.794,1357.1,normal
18.2,210,429.63,26.32,40.05,36.53,2.17,365.68,3.424,1249.64,suciedad
9.07,103,677.92,22.89,45.08,46.39,4.79,359.26,4.288,1538.18,sombreado_parcial
19.66,329,84.78,26.95,30.19,55.47,5.36,376.29,0.883,295.56,normal
10.72,133,935.25,28.48,58.89,56.97,5.62,350.49,5.995,2103.92,suciedad
8.55,323,478.48,32.26,47.9,82.21,1.24,357.09,2.969,1092.47,suciedad
17.06,139,680.69,24.85,44.23,46.64,4.73,361.94,1.112,422.46,falla_panel
15.22,121,948.0,34.83,64.86,83.6,0.72,344.63,8.094,2773.66,normal
12.97,94,1000.0,30.45,60.85,50.9,4.02,341.56,4.041,1372.04,sombreado_parcial
13.78,129,1000.0,20.76,50.34,72.25,8.89,359.71,7.105,2572.31,suciedad
16.07,91,786.11,38.26,62.39,85.12,0.04,344.64,6.701,2343.03,normal
9.2,92,666.01,26.96,48.05,83.53,1.74,359.62,5.795,2090.74,normal
19.95,63,3.19,19.99,20.46,23.99,3.13,380.91,0.128,25.76,normal
19.65,29,41.8,34.92,37.81,34.4,3.63,365.1,0.38,140.69,suciedad
15.1,210,973.73,37.47,69.86,53.38,0.58,335.46,8.129,2732.9,normal
8.79,12,530.49,24.8,41.88,50.21,10.75,361.85,4.64,1698.73,normal
15.52,333,775.07,21.98,46.97,64.86,2.87,354.46,6.759,2401.45,normal
7.01,297,249.13,23.97,31.89,86.13,0.54,371.07,2.254,826.61,normal
6.43,130,95.62,29.29,33.43,27.87,0.06,370.33,0.34,129.44,falla_panel
9.61,293,640.92,32.67,53.43,51.63,4.59,350.13,5.569,1952.9,normal
12.48,173,1000.0,28.42,59.59,33.47,0.25,350.12,4.621,1598.26,sombreado_parcial
18.16,208,437.89,25.61,42.52,82.59,0.46,364.63,3.8,1399.85,normal
16.18,24,679.21,33.99,54.39,87.52,2.57,350.6,5.929,2070.53,normal
16.4,99,754.3,23.12,48.88,53.51,2.78,358.48,1.349,486.31,falla_panel
11.96,356,891.25,31.19,57.01,27.28,3.48,32.54,2.896,91.56,falla_inversor
10.84,139,941.42,23.27,53.91,74.97,1.5,349.09,8.178,2839.71,normal
11.19,314,841.8,27.59,56.05,68.8,4.46,351.36,7.428,2586.46,normal
19.83,174,72.2,24.32,23.71,44.83,10.99,380.39,0.603,217.58,normal
6.56,29,101.57,24.66,28.05,82.12,0.95,378.49,0.922,358.42,normal
18.14,143,442.89,22.74,37.65,88.31,3.64,365.82,2.416,857.8,sombreado_parcial
14.1,316,839.92,33.07,59.69,59.05,7.91,348.13,7.137,2478.32,normal
12.14,351,853.79,20.6,47.85,59.6,3.48,360.39,6.02,2165.57,suciedad
16.15,42,716.79,20.56,43.16,40.83,3.43,363.54,4.91,1799.31,suciedad
12.81,299,964.96,37.73,66.24,60.92,0.76,337.24,8.14,2732.59,normal
18.23,208,391.25,30.87,46.65,50.77,2.3,364.35,2.429,892.8,suciedad
18.61,330,280.25,10.69,18.69,41.15,2.48,387.18,1.94,761.3,suciedad
11.9,192,1000.0,21.61,53.51,24.7,3.61,352.44,4.78,1679.37,sombreado_parcial
9.88,160,858.17,14.13,39.98,37.69,15.0,367.02,1.524,570.81,falla_panel
14.29,64,907.79,19.3,44.25,33.85,0.1,365.94,5.715,2105.1,suciedad
18.77,243,289.41,6.17,13.83,57.94,0.2,387.79,1.531,611.95,sombreado_parcial
8.95,258,606.23,24.18,40.95,62.12,0.24,367.03,0.888,307.19,falla_panel
14.72,152,1000.0,18.15,51.04,62.6,4.08,354.93,4.172,1455.22,sombreado_parcial
14.84,215,983.99,25.36,55.2,47.17,0.44,350.68,3.894,1331.95,sombreado_parcial
16.26,322,675.04,15.25,35.57,49.49,2.92,369.44,6.183,2267.0,normal
7.84,166,451.22,25.5,38.0,78.4,1.18,363.47,0.43,198.51,falla_panel
16.02,31,721.51,22.51,45.2,53.34,1.83,361.77,6.326,2282.73,normal
18.73,232,293.38,34.01,42.11,89.14,0.73,358.89,2.635,950.24,normal
8.52,282,510.23,33.47,50.9,50.77,6.03,354.35,2.184,731.56,sombreado_parcial
9.33,29,628.22,29.71,49.8,65.47,2.65,355.44,2.993,1056.98,sombreado_parcial
19.6,195,102.42,23.04,25.38,23.53,8.68,378.87,0.481,198.04,sombreado_parcial
8.53,334,467.87,36.91,52.81,65.73,2.56,349.27,2.777,982.76,sombreado_parcial
17.96,256,439.62,15.68,29.43,79.6,0.4,377.57,3.822,1475.92,normal
12.89,281,947.3,16.58,46.21,85.97,0.56,356.17,3.443,1227.43,falla_panel
9.46,304,654.21,24.5,42.75,89.81,13.55,361.29,3.22,1191.66,sombreado_parcial
18.19,321,349.75,38.52,49.35,39.75,3.88,355.78,0.774,311.34,falla_panel
12.23,323,915.65,23.79,52.88,60.28,0.15,352.88,8.242,2925.06,normal
13.21,346,913.37,23.9,54.44,51.55,3.65,352.79,4.11,1468.06,sombreado_parcial
11.03,294,838.7,16.35,41.43,59.47,1.59,364.43,6.298,2294.02,suciedad
14.3,87,969.13,30.68,64.38,31.02,1.1,346.45,8.102,2800.4,normal
8.29,149,549.78,30.72,48.73,79.93,0.5,358.15,4.012,1436.78,suciedad
11.48,249,960.22,29.73,57.46,83.67,5.5,349.71,8.027,2809.2,normal
19.57,321,73.27,21.22,22.25,51.48,0.2,381.46,0.464,169.54,sombreado_parcial
9.61,283,678.04,20.76,44.08,39.63,1.03,362.48,4.303,1538.77,sombreado_parcial
15.19,362,811.05,17.24,44.45,29.86,1.1,360.54,3.069,1124.65,sombreado_parcial
10.55,198,947.42,25.5,55.14,67.86,0.53,350.41,5.392,1883.62,sombreado_parcial
16.83,44,611.0,18.52,37.84,41.86,2.13,374.15,5.232,1956.93,normal
7.83,356,375.05,17.94,27.91,83.67,0.04,380.32,1.608,603.66,sombreado_parcial
19.58,28,27.98,22.46,25.31,66.97,1.07,377.96,0.288,112.39,normal
12.35,17,928.56,22.07,49.6,65.2,8.14,357.93,7.863,2830.34,normal
9.3,127,721.19,21.77,45.58,59.16,1.12,360.99,6.277,2268.54,normal
7.03,168,254.54,27.8,37.78,23.2,1.34,366.53,2.173,809.92,normal
8.38,244,517.89,25.47,41.73,85.23,1.92,368.27,2.599,975.21,sombreado_parcial
13.28,76,1000.0,23.27,55.97,63.96,2.47,350.18,7.151,2483.21,suciedad
10.72,231,895.5,26.1,56.85,89.58,4.96,352.51,7.771,2736.7,normal
17.6,204,584.83,19.05,37.73,57.61,0.63,366.59,5.145,1922.2,normal
12.03,248,1000.0,25.63,56.62,69.71,6.16,352.16,8.134,2922.4,normal
9.48,302,672.42,25.9,46.82,23.93,4.25,361.95,3.1,1124.68,sombreado_parcial
14.64,214,995.62,15.98,45.98,64.22,3.85,358.13,8.939,3212.81,normal
15.89,215,828.25,30.97,55.71,73.53,0.27,350.17,7.341,2570.05,normal
8.34,158,568.44,19.71,38.14,74.5,0.07,367.35,3.024,1106.37,sombreado_parcial
8.35,69,499.36,25.54,40.9,73.91,2.7,368.16,4.374,1610.52,normal
6.51,85,143.17,31.99,36.95,35.84,5.97,371.75,1.211,464.73,normal
16.31,267,727.08,30.55,51.04,88.28,2.63,354.47,6.36,2237.13,normal
15.29,69,845.72,25.21,51.5,89.66,0.72,354.06,7.341,2619.89,normal
12.64,99,1000.0,22.83,55.62,25.29,0.28,351.4,8.513,2970.26,normal
17.82,347,461.76,30.69,43.44,85.55,3.61,359.34,3.001,1068.07,sombreado_parcial
17.28,216,614.61,29.05,48.28,40.26,3.84,360.43,5.289,1918.29,normal
14.19,161,1000.0,21.29,49.76,68.25,0.57,354.75,8.782,3107.76,normal
18.16,94,427.93,20.23,31.65,43.67,0.09,373.88,3.791,1424.22,normal
8.88,174,657.64,12.57,34.33,87.74,1.57,373.94,3.46,1268.26,sombreado_parcial
7.57,165,390.63,25.92,37.67,27.11,2.62,368.86,0.766,294.14,falla_panel
9.78,115,786.88,24.5,51.83,54.84,3.67,353.72,3.359,1174.0,sombreado_parcial
6.8,220,221.58,31.82,39.39,49.96,4.98,364.28,1.364,519.79,sombreado_parcial
13.44,31,906.88,27.15,56.29,42.82,2.83,350.16,4.218,1471.14,sombreado_parcial
19.11,11,189.1,33.01,37.3,65.19,0.35,367.74,1.662,605.6,normal
6.55,343,101.39,20.82,23.41,29.17,3.44,386.76,0.958,358.34,normal
7.71,130,397.03,31.83,43.14,70.17,12.44,361.16,3.498,1254.54,normal
12.33,105,1000.0,21.83,51.48,88.64,7.08,353.78,8.584,3042.42,normal
19.07,27,204.71,29.67,37.06,76.32,6.16,366.54,1.706,661.04,normal
10.43,227,904.23,16.25,45.8,80.2,1.08,359.72,4.255,1554.85,sombreado_parcial
13.1,2,913.51,26.41,55.56,45.17,4.17,352.02,7.874,2807.94,normal
6.58,359,115.1,13.09,15.45,42.74,5.71,387.18,0.147,61.94,falla_panel
8.08,101,468.04,23.4,38.52,56.19,3.4,367.86,1.216,426.38,falla_panel
19.81,21,56.38,27.64,26.53,23.2,0.87,22.7,0.0,0.0,falla_inversor
19.51,58,123.91,21.87,27.73,86.18,9.23,379.27,1.102,425.41,normal
6.07,180,0.0,18.7,16.75,30.06,1.8,386.92,0.008,14.56,falla_panel
19.33,341,130.65,30.08,32.48,83.21,0.42,372.24,0.935,343.39,suciedad
14.95,349,811.22,24.38,49.9,25.85,0.35,359.16,1.902,679.85,falla_panel
18.15,20,381.91,22.06,34.3,77.58,3.13,370.29,1.769,662.91,sombreado_parcial
12.37,255,1000.0,25.25,56.39,30.64,1.73,350.97,7.783,2748.48,suciedad
13.22,317,932.63,40.82,68.3,22.67,0.3,340.28,7.808,2646.19,normal
12.84,38,911.69,31.92,62.11,70.36,4.05,347.35,7.744,2670.86,normal
15.34,148,950.65,31.98,59.15,39.62,4.82,348.21,8.019,2778.49,normal
7.96,25,408.32,27.61,38.15,70.01,3.88,366.88,0.355,151.23,falla_panel
6.42,121,70.64,26.0,28.05,58.86,0.68,376.06,0.495,228.93,normal
10.31,26,807.7,10.62,33.97,27.62,3.51,372.11,7.209,2686.88,normal
15.87,169,904.07,20.93,51.01,85.25,0.03,353.77,2.953,1020.44,falla_panel
8.83,323,541.37,22.12,37.27,51.66,1.09,369.43,4.634,1748.78,normal
15.43,225,890.09,13.75,43.9,71.41,1.53,362.45,1.726,632.98,falla_panel
19.58,1,81.65,18.06,22.16,55.07,5.41,380.36,0.666,222.74,suciedad
7.31,307,272.26,13.11,23.48,62.31,1.48,378.99,2.538,943.39,normal
15.42,261,867.58,24.77,54.71,41.19,0.03,351.94,7.413,2604.79,normal
12.21,13,924.45,29.91,58.92,34.03,1.3,347.2,5.498,1929.75,sombreado_parcial
18.15,48,371.91,31.64,41.74,57.98,2.07,12.51,4.985,61.45,falla_inversor
8.48,313,499.15,27.49,42.93,50.82,8.93,361.13,1.718,623.88,falla_panel
15.7,291,757.82,19.22,42.05,47.31,8.49,365.26,6.417,2384.92,normal
17.73,332,433.34,13.41,25.89,67.08,0.6,380.68,3.905,1459.09,normal
19.22,94,184.79,14.46,20.46,68.34,0.61,381.95,1.689,664.96,normal
15.57,261,854.81,17.39,43.63,23.21,0.54,361.85,6.683,2360.87,suciedad
12.96,278,958.53,19.67,48.49,43.71,4.67,360.41,8.16,2944.42,normal
14.65,359,830.58,24.04,49.63,48.82,0.02,357.4,7.296,2600.14,normal
18.16,205,462.98,18.92,34.21,26.78,0.41,371.06,3.699,1370.76,suciedad
13.99,185,1000.0,27.03,59.72,36.51,2.32,348.73,8.381,2927.32,normal
6.43,175,109.0,23.61,24.61,23.61,0.85,379.39,1.037,378.42,normal
19.03,309,155.05,25.06,29.45,89.74,0.29,375.11,1.094,406.52,suciedad
15.65,69,862.55,31.84,58.58,71.56,1.34,348.43,5.02,1747.96,sombreado_parcial
15.47,104,883.88,17.92,43.77,26.12,0.96,365.01,7.729,2840.03,normal
9.02,246,638.21,27.51,47.28,21.42,2.15,357.0,2.66,952.28,sombreado_parcial
15.22,161,953.98,24.92,54.95,70.35,11.62,352.49,3.43,1229.61,sombreado_parcial
11.51,200,1000.0,23.0,55.03,50.74,0.4,350.67,4.328,1510.67,sombreado_parcial
15.12,216,960.79,30.31,60.45,75.08,1.4,348.81,0.94,322.08,falla_panel
7.49,212,372.77,30.27,40.6,84.64,8.06,366.71,1.5,546.8,sombreado_parcial
15.21,16,782.57,19.32,46.79,61.95,6.28,359.14,4.188,1481.65,sombreado_parcial
19.99,332,0.0,23.91,25.15,33.1,1.5,381.05,0.056,6.03,sombreado_parcial
6.67,205,204.11,26.69,33.89,74.75,3.6,370.4,1.134,381.47,sombreado_parcial
19.68,365,69.11,23.36,27.03,86.91,0.28,376.81,0.705,246.91,normal
11.7,39,891.98,28.51,56.75,60.62,3.74,354.88,7.483,2652.91,normal
18.19,89,382.24,26.69,40.56,67.74,10.82,364.47,1.702,625.85,sombreado_parcial
16.95,256,648.8,36.0,56.36,43.62,2.31,350.57,5.512,1957.07,normal
13.94,254,1000.0,15.82,47.07,46.71,2.07,358.25,8.86,3149.31,normal
16.34,216,802.34,24.27,50.29,71.43,0.62,353.4,5.592,1966.06,suciedad
18.3,303,343.37,19.55,32.64,84.94,3.01,370.7,2.996,1118.97,normal
11.66,172,1000.0,28.62,62.14,64.03,2.68,345.39,5.128,1765.92,sombreado_parcial
10.58,137,960.54,15.3,46.2,75.29,3.17,357.03,8.622,3075.81,normal
15.35,178,971.86,27.08,58.22,32.01,0.08,347.02,8.395,2914.64,normal
17.31,77,549.05,21.22,39.42,34.84,2.39,367.6,4.881,1777.22,normal
16.67,188,693.5,20.6,43.75,57.24,2.71,362.64,6.036,2217.16,normal
17.17,15,545.89,16.32,35.33,32.36,0.7,369.36,4.885,1788.63,normal
12.1,292,947.93,22.21,51.48,64.45,0.7,353.96,8.34,2928.77,normal
17.45,319,475.02,31.51,48.33,40.42,0.97,355.78,4.115,1483.96,normal
7.68,325,336.11,24.85,35.87,75.41,3.73,374.13,1.985,779.23,sombreado_parcial
13.62,214,1000.0,28.77,60.99,76.57,2.8,343.84,8.744,2998.54,normal
6.08,208,21.64,34.99,37.74,52.47,5.61,369.92,0.239,70.51,suciedad
10.54,169,926.2,26.58,56.65,32.66,1.05,345.52,4.864,1695.85,sombreado_parcial
11.13,330,855.29,21.65,49.75,65.27,7.29,358.24,7.356,2660.36,normal
11.55,280,922.12,27.8,56.04,89.5,4.08,352.47,7.675,2738.52,normal
15.74,305,745.12,21.73,47.27,63.58,1.51,356.98,6.67,2361.7,normal
11.44,146,1000.0,21.97,54.27,22.5,0.3,350.96,2.191,770.8,falla_panel
12.28,263,960.9,15.88,46.1,21.21,0.89,362.09,2.597,916.65,falla_panel
9.33,4,639.03,30.56,52.18,42.43,9.42,351.9,5.243,1893.69,normal
11.23,90,957.37,22.68,56.48,33.7,1.11,350.96,3.693,1294.61,sombreado_parcial
9.18,60,660.55,26.09,44.98,76.91,1.2,16.33,4.244,68.41,falla_inversor
7.02,311,207.87,18.78,24.07,79.14,0.63,382.68,1.531,603.76,suciedad
14.45,16,853.2,27.62,58.31,38.1,4.93,352.08,7.128,2496.69,normal
15.35,227,914.82,20.43,49.66,42.8,0.97,354.56,7.825,2793.23,normal
14.67,29,857.09,24.15,51.22,36.54,1.2,356.27,7.582,2717.99,normal
12.49,151,1000.0,30.27,61.34,83.59,1.61,347.43,6.155,2137.22,suciedad
11.32,245,946.04,29.74,61.12,55.19,1.71,341.7,6.652,2283.2,suciedad
18.09,270,403.59,24.87,41.4,65.93,1.59,366.43,2.111,748.61,sombreado_parcial
13.27,79,973.09,14.39,43.8,49.08,2.1,362.84,8.313,3016.26,normal
12.71,289,967.46,42.96,73.04,64.17,5.05,335.64,2.911,953.52,falla_panel
6.36,153,87.08,35.48,37.67,47.01,5.13,364.31,0.62,213.56,suciedad
10.78,277,850.33,29.34,57.01,43.78,4.8,351.08,7.485,2643.99,normal
11.32,279,881.73,20.48,49.87,64.41,0.32,356.01,7.855,2792.45,normal
11.58,57,890.07,24.32,54.56,61.37,4.82,349.64,4.212,1487.18,sombreado_parcial
14.12,186,1000.0,21.74,54.14,40.55,0.38,353.72,8.866,3115.76,normal
13.47,93,1000.0,32.58,67.61,30.45,0.4,341.14,8.541,2888.71,normal
14.51,276,933.58,26.58,54.89,45.8,8.86,351.45,8.073,2867.73,normal
16.71,158,742.12,20.3,42.23,49.06,5.13,28.46,2.773,78.12,falla_inversor
17.38,275,486.96,22.18,39.6,64.01,2.41,365.81,3.492,1255.09,suciedad
16.05,181,886.45,31.73,59.61,84.02,6.24,344.37,7.724,2644.35,normal
19.38,359,139.08,34.6,36.88,22.53,13.63,368.42,0.105,40.44,falla_panel
6.26,77,41.6,34.17,35.0,37.06,2.83,372.9,0.43,109.21,sombreado_parcial
8.74,151,630.67,29.54,49.63,33.56,2.85,359.03,5.443,1949.77,normal
6.11,238,1.75,23.48,22.57,55.16,4.21,380.66,0.0,5.61,falla_panel
15.06,289,891.7,5.55,31.89,50.08,0.79,373.93,5.556,2064.55,sombreado_parcial
18.57,231,312.99,26.78,36.25,71.03,0.55,369.46,2.673,967.43,suciedad
9.41,18,621.37,24.99,42.81,36.97,4.28,364.07,5.438,1969.11,normal
18.98,73,209.9,25.84,33.35,61.61,1.27,372.17,1.23,454.04,sombreado_parcial
6.84,189,207.76,25.32,28.9,81.87,0.44,377.74,1.845,723.07,normal
19.08,17,213.85,17.04,23.86,83.75,1.13,380.25,1.881,746.76,normal
10.92,19,851.61,28.34,55.74,87.11,1.33,353.01,5.107,1819.97,sombreado_parcial
7.42,219,326.61,28.79,38.86,74.13,10.08,365.77,0.907,375.63,falla_panel
12.8,326,917.86,29.09,59.42,83.42,3.59,347.69,5.025,1720.68,sombreado_parcial
9.59,120,769.52,30.68,52.67,36.42,2.27,355.04,6.667,2365.97,normal
9.99,101,788.14,28.62,52.2,33.83,10.41,354.59,6.798,2416.56,normal
10.3,34,812.2,22.54,47.43,20.45,7.0,354.01,1.784,656.99,falla_panel
17.24,84,611.31,24.57,44.75,69.48,2.15,361.84,5.262,1927.28,normal
13.55,196,1000.0,25.55,57.12,85.62,7.08,350.86,8.624,3025.51,normal
10.36,330,784.92,25.65,53.39,33.09,1.55,353.63,5.227,1853.59,suciedad
14.54,202,1000.0,30.99,61.03,64.59,0.79,347.65,2.205,764.35,falla_panel
16.03,344,703.08,28.86,48.74,72.25,0.79,359.79,5.099,1858.5,suciedad
9.82,341,688.32,37.46,61.66,84.93,3.26,343.79,5.734,1964.82,normal
11.79,11,904.23,38.24,64.35,65.28,2.09,339.19,7.885,2652.74,normal
7.71,347,317.59,25.48,36.43,87.92,3.23,366.74,2.065,762.58,suciedad
8.54,218,609.7,5.0,22.59,44.13,3.48,382.44,1.438,534.78,falla_panel
15.54,253,851.65,32.42,55.93,44.49,0.07,29.73,2.706,80.7,falla_inversor
8.54,222,604.78,21.76,40.09,58.01,0.17,365.41,3.513,1290.82,sombreado_parcial
13.35,80,996.77,20.19,52.69,46.85,2.28,350.93,7.672,2684.76,suciedad
15.93,7,723.42,22.61,43.38,20.1,0.64,363.13,6.28,2288.93,normal
7.5,272,323.44,22.32,33.29,71.22,3.0,372.15,2.822,1061.81,normal
13.94,227,1000.0,28.67,61.07,72.62,2.41,346.06,8.716,2997.44,normal
9.59,16,651.77,15.64,34.1,72.29,2.64,16.37,3.927,65.78,falla_inversor
19.48,12,133.09,18.53,22.35,44.15,1.08,384.15,1.268,485.2,normal
12.77,291,905.33,27.06,57.72,56.56,3.06,348.65,7.525,2642.13,normal
17.28,241,568.38,28.74,47.48,45.2,5.31,356.0,0.796,251.24,falla_panel
13.7,21,889.14,28.85,56.24,21.12,15.0,353.01,7.454,2615.33,normal
6.61,178,127.9,20.28,24.9,59.37,5.47,376.56,1.228,438.34,normal
14.86,228,995.11,19.13,49.2,28.66,2.45,356.45,7.034,2503.84,suciedad
19.32,273,174.5,21.96,29.08,25.6,0.64,373.72,1.38,503.77,suciedad
14.42,288,920.97,26.44,56.89,72.88,3.43,348.89,8.03,2798.03,normal
17.47,297,495.12,33.91,49.57,20.67,8.33,356.48,1.673,606.47,falla_panel
18.38,134,411.02,12.72,25.91,87.13,0.71,376.51,3.898,1434.12,normal
9.19,283,602.31,23.68,41.0,56.07,0.89,359.9,1.293,452.82,falla_panel
8.97,153,719.58,17.0,37.46,88.81,0.48,366.23,4.615,1705.25,suciedad
14.55,66,903.71,15.09,42.76,24.06,4.0,360.42,7.905,2877.42,normal
11.75,137,1000.0,30.8,61.92,60.85,1.57,343.01,7.211,2490.79,suciedad
17.76,92,483.44,28.27,44.97,44.45,0.19,360.46,4.391,1581.78,normal
18.6,317,262.57,27.7,37.29,79.04,6.24,371.37,2.321,873.89,normal
10.95,259,939.73,30.53,60.17,45.29,2.45,345.39,2.78,944.01,falla_panel
9.32,103,719.25,22.12,46.38,38.23,1.21,358.62,6.554,2345.6,normal
